X Y Z
58.27750015 -51.43099976 -1.19649994
58.26074982 -51.41400146 -1.00150001
58.25650024 -51.40950012 -0.95775002
58.14049911 -51.67399979 0.25000000
58.27225113 -51.40599823 0.42350000
58.29249954 -51.42124939 0.63200003
58.05075073 -51.45500183 -1.33975005
58.05625153 -51.45899963 -1.29674995
58.06475067 -51.51250076 -1.20725000
58.19924927 -51.42399979 -1.20675004
57.99974823 -51.51150131 -1.25524998
58.02949905 -51.53699875 -1.16999996
58.06724930 -51.46699905 -1.13600004
58.06024933 -51.46025085 -1.09599996
58.17200089 -51.39974976 -1.17275000
58.13399887 -51.41175079 -1.18299997
58.14049911 -51.41624832 -1.09475005
58.04949951 -51.49625015 -0.99675000
58.17150116 -51.39775085 -1.05100000
58.17300034 -51.39775085 -0.96074998
58.12625122 -51.40224838 -0.97724998
58.09075165 -51.48400116 -0.84875000
58.18849945 -51.41025162 -0.88725001
58.07975006 -51.47249985 -0.72600001
58.18099976 -51.40250015 -0.76525003
58.06549835 -51.50624847 -0.67199999
58.05699921 -51.49800110 -0.59950000
58.19599915 -51.41450119 -0.67874998
58.20225143 -51.41875076 -0.60149997
58.13925171 -51.40850067 -0.56900001
58.04875183 -51.49124908 -0.63875002
58.06174850 -51.50099945 -0.51499999
58.08324814 -51.47325134 -0.48600000
58.20375061 -51.41975021 -0.56625003
58.21699905 -51.43024826 -0.47950000
58.03125000 -51.52949905 -0.47200000
58.03274918 -51.58549881 -0.24450000
58.07899857 -51.62549973 -0.20900001
58.17399979 -51.39049911 -0.31850001
58.08250046 -51.47000122 -0.27950001
58.20275116 -51.41550064 -0.27950001
58.15150070 -51.41574860 -0.28625000
58.11399841 -51.43899918 -0.30399999
58.20024872 -51.41199875 -0.19650000
58.15499878 -51.41749954 -0.19775000
58.06575012 -51.61375046 -0.16725001
58.07474899 -51.50650024 -0.06725000
58.11724854 -51.43875122 -0.06400000
58.05825043 -51.44599915 -0.07125000
58.08449936 -51.46799850 0.00625000
58.21775055 -51.42525101 -0.03075000
58.21200180 -51.41949844 0.00650000
58.16949844 -51.42699814 0.04525000
58.08649826 -51.62775040 0.15975000
58.08399963 -51.51150131 0.18325000
58.17425156 -51.42950058 0.19875000
58.07550049 -51.50325012 0.21750000
58.10300064 -51.48149872 0.21675000
58.09674835 -51.47525024 0.25400001
58.10274887 -51.52650070 0.29600000
58.05899811 -51.54399872 0.30050001
58.11399841 -51.48949814 0.32949999
58.17575073 -51.38499832 0.25275001
58.12099838 -51.65399933 0.44825000
58.10025024 -51.57875061 0.41650000
58.08724976 -51.56700134 0.45524999
58.09149933 -51.46875000 0.41000000
58.19525146 -51.44525146 0.41225001
58.08425140 -51.50725174 0.50424999
58.10150146 -51.57825089 0.53850001
58.11700058 -51.48949814 0.53899997
58.23625183 -51.43349838 0.57674998
58.19324875 -51.39625168 0.53600001
58.09849930 -51.57424927 0.62774998
58.10675049 -51.52574921 0.62650001
58.10549927 -51.47850037 0.61224997
58.09024811 -51.56600189 0.70300001
58.25674820 -51.38975143 0.66825002
58.12599945 -51.43624878 0.70775002
58.18775177 -51.38925171 0.70599997
58.09500122 -51.46799850 0.69849998
58.10350037 -51.57749939 0.74075001
58.09949875 -51.57275009 0.82525003
58.11375046 -51.48300171 0.82450002
58.24774933 -51.37974930 0.79949999
58.18000031 -51.38100052 0.82225001
58.11975098 -51.58724976 1.06799996
58.10100174 -51.57324982 0.87099999
58.09999847 -51.57199860 0.91275001
58.10200119 -51.51774979 0.90950000
58.23699951 -51.36999893 0.84224999
